[2026-08-28 13:55:13] [INFO    ] discord.client: logging in using static token
[2026-08-28 13:55:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-08-28 13:55:13] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-08-28 13:55:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1542549210488897626', 'username': 'QnDRP_bot', 'avatar': None, 'discriminator': '6295', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-08-28 13:55:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-08-28 13:55:14] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-08-28 13:55:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1542549210488897626', 'name': 'QnDRP_bot', 'icon': None, 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1542549210488897626', 'username': 'QnDRP_bot', 'avatar': None, 'discriminator': '6295', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2f1dafd6a702de7cd04696710d5648d6791ca95adc43bc5b719008725f203e2f', 'flags': 565248, 'flags_new': '565248', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '490845003367710731', 'username': 'rajdoesstuff', 'avatar': '61f84f6dc6bbbed28e1f92990647a431', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 9187224, 'global_name': 'RajDoesStuff', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#8c2f98', 'clan': {'identity_guild_id': '1098454165602185228', 'identity_enabled': True, 'tag': 'RTRD', 'badge': '238c342ed46184ffdf3e4b290b15d177'}, 'primary_guild': {'identity_guild_id': '1098454165602185228', 'identity_enabled': True, 'tag': 'RTRD', 'badge': '238c342ed46184ffdf3e4b290b15d177'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-08-28 13:55:14] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1542549210488897626/guilds/1542552376257552384/commands with [{"name":"ping","description":"Ping the bot","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"help","description":"List of functions and commands","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"dice_list","description":"List available dice","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"roll","description":"a simple dice roll","type":1,"options":[{"type":3,"name":"dice","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"rollplus","description":"an advanced dice roll","type":1,"options":[{"type":3,"name":"expression","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-08-28 13:55:14] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-08-28 13:55:14] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1542549210488897626/guilds/1542552376257552384/commands has received [{'id': '1542574503962480650', 'application_id': '1542549210488897626', 'version': '1542574503962480652', 'default_member_permissions': None, 'type': 1, 'name': 'ping', 'name_localizations': None, 'description': 'Ping the bot', 'description_localizations': None, 'guild_id': '1542552376257552384', 'nsfw': False}, {'id': '1542658246438031440', 'application_id': '1542549210488897626', 'version': '1542658246438031442', 'default_member_permissions': None, 'type': 1, 'name': 'help', 'name_localizations': None, 'description': 'List of functions and commands', 'description_localizations': None, 'guild_id': '1542552376257552384', 'nsfw': False}, {'id': '1542588779389390980', 'application_id': '1542549210488897626', 'version': '1542603108625023027', 'default_member_permissions': None, 'type': 1, 'name': 'dice_list', 'name_localizations': None, 'description': 'List available dice', 'description_localizations': None, 'guild_id': '1542552376257552384', 'nsfw': False}, {'id': '1542606486386122884', 'application_id': '1542549210488897626', 'version': '1542658246438031443', 'default_member_permissions': None, 'type': 1, 'name': 'roll', 'name_localizations': None, 'description': 'a simple dice roll', 'description_localizations': None, 'guild_id': '1542552376257552384', 'options': [{'type': 3, 'name': 'dice', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1542658246438031441', 'application_id': '1542549210488897626', 'version': '1542837731489751110', 'default_member_permissions': None, 'type': 1, 'name': 'rollplus', 'name_localizations': None, 'description': 'an advanced dice roll', 'description_localizations': None, 'guild_id': '1542552376257552384', 'options': [{'type': 3, 'name': 'expression', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2026-08-28 13:55:14] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-08-28 13:55:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-l2x7",{"micros":0.0}]']}}
[2026-08-28 13:55:14] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-08-28 13:55:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-08-28 13:55:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'QnDRP_bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1542549210488897626', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6295', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '665feb2b3c2e2ecfa23b9d4b918d2f4b', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1542552376257552384'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['warsaw', 'bucharest', 'frankfurt', 'denmark', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1542549210488897626', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-l2x7",{"micros":186981,"calls":["id_created",{"micros":603,"calls":[]},"session_lookup_time",{"micros":310,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"sessions-prd-gcp-us-east1-b-38",{"micros":184524,"calls":["start_session",{"micros":150318,"calls":["prd-rpc-558ffdfbdd-hcpkq",{"micros":58169,"calls":["get_user",{"micros":15550},"get_guilds",{"micros":13067},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":5},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":2163},"apex_experiments",{"micros":81763},"sessions_experiments",{"micros":7},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":9}]}]},"starting_guild_connect",{"micros":43,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"presence_started",{"micros":23210,"calls":[]},"guilds_started",{"micros":72,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":10855,"calls":[]},"connect_finished",{"micros":10866,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-08-28 13:55:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-08-28 13:55:14] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 665feb2b3c2e2ecfa23b9d4b918d2f4b).
[2026-08-28 13:55:14] [DEBUG   ] discord.client: Dispatching event connect
[2026-08-28 13:55:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'guild_space_settings': {'publish_status': 0, 'enabled': True}, 'icon': None, 'theme': None, 'application_command_counts': {}, 'activity_instances': [], 'profile': None, 'verification_role_id': None, 'verification_level': 0, 'incidents_data': None, 'premium_subscription_count': 0, 'mfa_level': 0, 'guild_scheduled_events': [], 'splash': None, 'features': [], 'inventory_settings': None, 'owner_id': '490845003367710731', 'presences': [], 'id': '1542552376257552384', 'member_count': 2, 'name': 'Bot test server', 'stickers': [], 'stage_instances': [], 'public_updates_channel_id': None, 'soundboard_sounds': [], 'threads': [], 'official_message_color': None, 'large': False, 'application_id': None, 'roles': [{'version': 1787843545937, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1542552376257552384', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1787843581840, 'unicode_emoji': None, 'tags': {'bot_id': '1542549210488897626'}, 'position': 1, 'permissions': '6774084965231680', 'name': 'QnDRP_bot', 'mentionable': False, 'managed': True, 'id': '1542552527608746098', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'vanity_url_code': None, 'safety_alerts_channel_id': None, 'nsfw': False, 'description': None, 'system_channel_id': '1542552376831905885', 'emojis': [], 'region': 'deprecated', 'premium_features': None, 'afk_channel_id': None, 'voice_states': [], 'afk_timeout': 300, 'premium_progress_bar_enabled_user_updated_at': None, 'system_channel_flags': 0, 'latest_onboarding_question_id': None, 'hub_type': None, 'channels': [{'version': 1787843545942, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kanały tekstowe', 'id': '1542552376831905883', 'flags': 0}, {'version': 1787843545945, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kanały głosowe', 'id': '1542552376831905884', 'flags': 0}, {'version': 1787859431796, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1542552376831905883', 'name': 'ogólny', 'last_pin_timestamp': '2026-08-27T19:37:11.789000+00:00', 'last_message_id': '1542860883238326282', 'id': '1542552376831905885', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1787843545974, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1542552376831905884', 'name': 'Ogólne', 'last_message_id': None, 'id': '1542552376831905886', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'discovery_splash': None, 'nsfw_level': 0, 'unavailable': False, 'members': [{'user': {'username': 'QnDRP_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1542549210488897626', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6295', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1542552527608746098'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-08-27T15:13:01.863000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_tier': 0, 'preferred_locale': 'en-US', 'embedded_activities': [], 'premium_progress_bar_enabled': False, 'game_application_ids': None, 'max_stage_video_channel_users': 50, 'banner': None, 'rules_channel_id': None, 'default_message_notifications': 0, 'explicit_content_filter': 0, 'max_members': 25000000, 'version': 1787843545982, 'owner_configured_content_level': 0, 'experiments': {'evaluation_id': None, 'assignments': []}, 'joined_at': '2026-08-27T15:13:01.863000+00:00', 'moderator_reporting': None, 'home_header': None, 'max_video_channel_users': 25, 'lazy': True}}
[2026-08-28 13:55:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
